"TimeStamp","Time Zone"",""Name"",""PTID"",""Load"""
"01/01/2004 00:00:00,""EST"",""CAPITL"",61757,1015"
"01/01/2004 00:00:00,""EST"",""CAPITL"",61757,1015"
"01/01/2004 00:00:00,""EST"",""CENTRL"",61754,1651"
"01/01/2004 00:00:00,""EST"",""DUNWOD"",61760,618"
"01/01/2004 00:00:00,""EST"",""GENESE"",61753,972"
"01/01/2004 00:00:00,""EST"",""HUD VL"",61758,1120"
"01/01/2004 00:00:00,""EST"",""MHK VL"",61756,645"
"01/01/2004 00:00:00,""EST"",""MILLWD"",61759,223"
"01/01/2004 00:00:00,""EST"",""N.Y.C._LONGIL"",,7267"
"01/01/2004 00:00:00,""EST"",""NORTH"",61755,622"
"01/01/2004 00:00:00,""EST"",""WEST"",61752,1591"
"01/01/2004 00:00:47,""EST"",""CAPITL"",61757,1016"
